Column1,nickname,text,score,like,dislike,time,watch_movie
1864,Robin mom(elis****),스포일러가 포함된 감상평입니다. 감상평 보기,8,2,1,2020-01-31 10:28,0
1865,라인하르트(kkh8****),몇년전 영화였지만 이번 중국 우한 코로나바이러스 사태를 보면서 어찌 이리 판박이인지 소름이 끼친다 다만 감염원부터 집단발병지가 미국인것만 빼고는 말이다.,10,2,1,2020-01-26 13:53,0
1886,아로아(ecla****),더러운 중국 극혐!  반중친미합시다,8,3,2,2020-02-09 4:32,0
1892,우리모두다같이(hosi****),스포일러가 포함된 감상평입니다. 감상평 보기,10,7,6,2020-03-05 16:53,0
1894,simpleB(wltl****),참.. 대단한 영화긴한데.. 제가 또 그렇게 재미만 찾는 사람은 아닌데... 유명 배우들 나오면서 이렇게 재미없게 흘러가는 영화는 드문듯 합니다. 영화로서는... 그나마 영화관에서 안본게 다행. 감상포인트 고를게 없...,2,0,0,2020-11-08 1:38,0
1895,JM(miss****),딱 하나 공감 안되는거는 우리나라 마트에서 저렇게 훔치면 씨씨티비로 싹다잡아서 쳐넣을거같아ㅜㅜ 미국처럼 도둑질은 불가능할것같은느낌,10,0,0,2020-11-04 23:22,0
1896,10억프국(007g****),이거 과학시간에 봄. ㅇㅇㅇ,8,0,0,2020-11-02 13:34,0
1897,son(song****),아니댓긄스라느는디붬어ㅣ,10,0,0,2020-10-30 9:58,0
1898,아야야(gyal****),스포일러가 포함된 감상평입니다. 감상평 보기,10,0,0,2020-10-28 15:53,0
1899,장롱다리 아지미(huny****),무섭다... 이건  2020을 사전고발한 영화,10,0,0,2020-10-28 0:52,0
1900,빨간꽃(ball****),코로나를 예견한 영화같네요 지금시국에 보기 딱 좋은 영화?!!! 하 이놈에 코로나 징글징글하다...,10,0,0,2020-10-20 4:52,0
1901,살찐고양이(qhrt****),"코로나 예언 영화같아서 놀랍긴 한데, 전개가 조금 지루하다.",7,0,0,2020-10-13 1:00,0
1902,lOW(dlsi****),절대로 현실에는 없었으면 하는 일이었건만,6,0,0,2020-10-09 1:34,0
1903,스타더스트(pjy0****),코파고 손가락 무는 우리 초등 아들 매일 보게 할 생각,10,0,0,2020-10-04 23:30,0
1904,elluet(lmin****),코로나19 시국을 예언한 영화같네여...박쥐 바이러스..우한 폐렴,10,0,0,2020-10-04 1:04,0
1905,프라이오스(mjhe****),소름돋는 영화입니다.,10,0,0,2020-10-03 22:22,0
1906,ji71****,,10,0,0,2020-10-02 15:45,0
1907,1121 합격(book****),이정도면 타임머신 타고 만든거아닌가,10,0,0,2020-10-01 11:18,0
1908,emotiunstablePath(jyk6****),현실의 일 때문에 이 영화가 다시 주목을 받게 됐다는 게 더할 나위 없이 끔찍하다,10,0,0,2020-09-30 2:26,0
1909,따뜻한귤(syst****),다시 봐도 미쳤다는 말 외 에는 생각이 안난다,10,0,0,2020-09-30 1:11,0
1910,jeong(pmj9****),코로나랑 상황이 비슷해서 보면서 놀랐음,10,0,0,2020-09-27 3:27,0
1911,bora****,지금 상황이랑 모든것이 일치해서 소름끼쳐요.,10,0,0,2020-09-26 0:45,0
1912,노정윤(iuni****),"연출과 클리셰 묵살까지, 그리고 팬데믹 사태에 대한 정확한 인식과 상황을 그려낸 완벽한 영화인 것 같다.",10,0,0,2020-09-25 11:01,0
1913,박은영(peyj****),스포일러가 포함된 감상평입니다. 감상평 보기,10,0,0,2020-09-23 22:51,0
1914,alfl****,,10,0,0,2020-09-21 0:19,0
