Column1,nickname,text,score,like,dislike,time,watch_movie
117,하향(xodn****),남도와주다 애한번잃어버렸으면 두번은안할것같은데... 맨날 애는어디도망가고 남자는 남도와주는데 애가없어짐,1,53,8,2014-09-09 1:24,0
118,일프로(jinj****),분명 2015년이전에는 졸작이라고 생각했는데 2015년 한국 현실을 겪고보니 이영화가 명작으로 보입니다.,10,47,3,2015-06-02 13:26,0
119,yoyoyo00(juli****),연가시 생각하고 보시는분들  백퍼 후회하실거임 ㅎㅎ 보는 내내 긴장감과 반전 ... 대박이었다!! 올 여름 최고작임!!,10,629,585,2013-08-14 0:01,0
120,와조스키(alll****),6월6일 현충일 특선영화로 감기를 틀어달라!!,10,45,2,2015-06-02 19:26,0
121,watercolor(sawk****),2015년 대한민국의 현실을 적나라하게 보여준 수작입니다.,10,46,3,2015-06-02 21:26,0
122,템포(siva****),나 영화관에서보고 욕하면서 나왔는데 정말 죄송합니다,10,44,2,2015-06-04 11:22,0
123,vlvk****,지금 개봉하면 2천만 관객 돌파했을 영화. 물론 생존자들만 보겟지만,8,45,3,2015-06-04 7:02,0
124,디즈니만화동산(devi****),메르스땜에 재평가가 필요함,10,46,4,2015-06-02 15:42,0
126,hjy7****,이게 재미있다는 놈들 정말 영화관 어쩌다가 가는 애들 ㅋㅋ 영화관 나들이가 재미있었겠지...,1,70,28,2013-08-19 0:08,0
127,cherry(sud4****),정말 재미있었음 ㅋㅋ 인간의 잔인함에 또한번놀라기는 했지만 ㅋㅋ,8,139,97,2013-08-14 20:59,0
128,비밀(soon****),개재미없음. 억지스럽고 뻔하고  네이버평점보고 갔는데 반전은 무슨... 연가시를 생각하고 갔으면 후회를 해? 걍 이거본게 후회하게됨. 알바좀 작작 풀어라. 에휴,1,99,58,2013-08-15 12:56,0
130,TH(jnth****),이게바로 실화를 바탕으로 만들었다는 영화인가요?,10,40,1,2015-06-06 14:45,0
131,enivnifndsf(salg****),무슨소립니까 똑같은 상황이라니? 여기나오는 정부가 현정부보단 훨씬 유능합니다,10,43,4,2015-06-04 14:28,0
132,pje7****,ㅅㅂ 역대 최악TOP5에 들어갈 영화 주인공의 쓸데없는 영웅심과 답답한 등장인물들의 민폐 행동과 쓸데없는 캐릭터가 너무 많고 걍 졸작,1,52,13,2013-08-18 14:37,0
133,SR(kexy****),별 깝깝한새끼들만 모여있는 영화,1,53,14,2013-08-17 22:02,0
134,fghjkkll(kilm****),평점 1점도 아깝다. 알바들 천지네 ㅉㅉ,1,97,58,2013-08-15 16:38,0
135,아르(art3****),뭐... 그냥 .. 예상한대로....,1,100,61,2013-08-15 12:48,0
136,ghkd****,소화불량이다. 똑부러지게 '이 맛'이라 하기엔 너무 많은 재료의 맛이 서로 부딪친다 -평론가 말이 정말 정확하다-,1,59,21,2013-08-19 0:21,0
137,자유영혼(jjan****),어린 꼬마로 지나친 감성자극이 너무너무 식상했다. 또 우리나라 방역 시스템을 쓰레기 수준으로 묘사했고 시민의식 수준도 쓰레기로 묘사했다. 또 전시작전권 선동도 어이가 없다. 우리 대한 군인이 위에서 시민들 쏘라고 명...,1,68,30,2013-08-15 23:06,0
138,심심(dlwh****),아역새 끼때문에안보는 영화는 또 처음이네 찬민이배채워주긴싫다,1,84,46,2013-08-15 13:01,0
139,왓츠업(ehdd****),평점높으면 다 댓글알바냐 무식이들아 이정도면 훌륭한거다 꼭 보지도않고 두달뒤에 파일노리같은데서 포인트주고 볼놈들이 ㅉㅉ,10,159,121,2013-08-14 17:41,0
140,puli****,차인표같은 대통령만 빼고 그대로네요 ㄹㅇ명작,10,38,1,2015-06-04 0:29,0
141,진이(pnto****),난 이거개봉하고봤을때 아무렇지않게봤던영화메르스덕에 다시보게되었는데 진짜무섭다,10,38,1,2015-06-03 20:04,0
142,나는야 신고왕(jhjw****),지금 메르스 상태와 거의 비슷하다 다만 엄청다른건 차인표같은 대통령이 없다는게..ㅠㅠ 차인표는 국민을 살리기라도 햇지;;,10,39,2,2015-06-03 22:31,0
143,브레이브(brav****),이건 영화가 아니라 그냥 사실 그대로 다큐멘터리네요..,10,40,3,2015-06-04 1:20,0
144,총알(rlaw****),여기가 메르스 성지인가요? 아무래도 재개봉해야 할것같네요,10,40,3,2015-06-03 23:52,0
145,한선정(sj57****),장혁의 무조건적인 희생애가 억지부리는거스토리라인답답터지는내용,1,48,11,2013-08-17 15:48,0
